Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   983294      98.33     60.00        18.00     2.8411          158.43                   47.53        346093.07
   1   950000      95.00     60.00        18.00     3.5964          120.92                   36.28        264149.52
   2   898256      89.83     60.00        18.00     4.1157           99.91                   29.97        218249.92
   3   849806      84.98     60.00        18.00     4.1520           93.69                   28.11        204675.61
   4   797347      79.73     60.00        18.00     3.4261          106.54                   31.96        232730.02
   5   748228      74.82     60.00        18.00     3.1400          109.08                   32.72        238287.26
   6   699879      69.99     60.00        18.00     4.1612           76.99                   23.10        168192.44
   7   649911      64.99     60.00        18.00     4.1823           71.13                   21.34        155394.11
   8   599947      59.99     60.00        18.00     4.1516           66.15                   19.85        144510.53
   9   550000      55.00     60.00        18.00     4.1613           60.50                   18.15        132169.03
  10   500001      50.00     60.00        18.00     4.1497           55.16                   16.55        120490.47
  11   450001      45.00     60.00        18.00     4.1569           49.55                   14.87        108253.42
  12   400001      40.00     60.00        18.00     4.1587           44.03                   13.21         96183.43
  13   350001      35.00     60.00        18.00     4.1538           38.57                   11.57         84260.61
  14   300001      30.00     60.00        18.00     4.1585           33.02                    9.91         72141.17
  15   250001      25.00     60.00        18.00     4.1646           27.48                    8.24         60029.31
  16   200001      20.00     60.00        18.00     4.1686           21.96                    6.59         47978.25
  17   150001      15.00     60.00        18.00     4.1569           16.52                    4.96         36084.67
  18   100001      10.00     60.00        18.00     4.1649           10.99                    3.30         24010.16
  19    50001       5.00     60.00        18.00     4.1483            5.52                    1.66         12053.44
  20        2       0.00     60.00        18.00     4.1456            0.00                    0.00             0.48

