Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   100000     100.00     60.00        18.00     8.1641            5.61                    1.68         12248.67
   1    95000      95.00     60.00        18.00     8.2905            5.25                    1.57         11458.84
   2    90000      90.00     60.00        18.00     8.5117            4.84                    1.45         10573.72
   3    85000      85.00     60.00        18.00     8.5579            4.55                    1.36          9932.33
   4    80000      80.00     60.00        18.00     8.6168            4.25                    1.27          9284.15
   5    75000      75.00     60.00        18.00     8.7890            3.91                    1.17          8533.42
   6    70000      70.00     60.00        18.00     8.8643            3.61                    1.08          7896.81
   7    65000      65.00     60.00        18.00     9.3477            3.18                    0.95          6953.61
   8    60000      60.00     60.00        18.00     9.4728            2.90                    0.87          6333.96
   9    55000      55.00     60.00        18.00     9.6244            2.62                    0.78          5714.64
  10    50001      50.00     60.00        18.00     9.8103            2.33                    0.70          5096.79
  11    45001      45.00     60.00        18.00     9.7325            2.12                    0.63          4623.78
  12    40001      40.00     60.00        18.00     9.2976            1.97                    0.59          4302.30
  13    35001      35.00     60.00        18.00     9.0406            1.77                    0.53          3871.54
  14    30001      30.00     60.00        18.00     8.7597            1.57                    0.47          3424.90
  15    25001      25.00     60.00        18.00     8.4188            1.36                    0.41          2969.67
  16    20001      20.00     60.00        18.00     8.2436            1.11                    0.33          2426.24
  17    15001      15.00     60.00        18.00     7.8185            0.88                    0.26          1918.66
  18    10001      10.00     60.00        18.00     7.4817            0.61                    0.18          1336.72
  19     5001       5.00     60.00        18.00     7.1238            0.32                    0.10           702.01
  20        2       0.00     60.00        18.00     6.6469            0.00                    0.00             0.30
