Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec  Delay
   0    99769      99.77     60.00        18.00     4.4757           10.20                    3.06         22291.02  45
   1    95000      95.00     60.00        18.00     4.5005            9.66                    2.90         21108.77  45
   2    90000      90.00     60.00        18.00     4.4984            9.16                    2.75         20007.29  45
   3    84999      85.00     60.00        18.00     3.9878            9.76                    2.93         21314.96  40
   4    80000      80.00     60.00        18.00     3.9988            9.16                    2.75         20005.95  40
   5    75000      75.00     60.00        18.00     4.0007            8.58                    2.57         18746.89  40
   6    69897      69.90     60.00        18.00     3.4880            9.17                    2.75         20039.35  35
   7    65000      65.00     60.00        18.00     3.4995            8.50                    2.55         18573.83  35
   8    60000      60.00     60.00        18.00     3.4995            7.85                    2.35         17145.17  35
   9    54962      54.96     60.00        18.00     2.9891            8.42                    2.53         18387.51  30
  10    50001      50.00     60.00        18.00     2.9989            7.63                    2.29         16673.22  30
  11    45001      45.00     60.00        18.00     2.9996            6.87                    2.06         15002.45  30
  12    39948      39.95     60.00        18.00     2.4927            7.34                    2.20         16026.12  25
  13    35001      35.00     60.00        18.00     2.4989            6.41                    1.92         14006.72  25
  14    30001      30.00     60.00        18.00     2.4997            5.49                    1.65         12002.06  25
  15    24983      24.98     60.00        18.00     1.9927            5.74                    1.72         12537.17  20
  16    20001      20.00     60.00        18.00     1.9999            4.58                    1.37         10000.89  20
  17    14994      14.99     60.00        18.00     1.9995            3.43                    1.03          7499.03  20
  18    10001      10.00     60.00        18.00     1.9998            2.29                    0.69          5001.09  20
  19     5001       5.00     60.00        18.00     2.0032            1.14                    0.34          2496.55  20
  20        2       0.00     60.00        18.00     1.9965            0.00                    0.00             1.00  20
