Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   998331      99.83     60.00        18.00     2.9653          154.12                   46.24        336675.46
   1   996975      99.70    110.00        68.00     3.3764          247.81                  153.19        295277.87
   2   995263      99.53    160.00       118.00     3.7793          321.47                  237.08        263346.01
   3   997091      99.71    210.00       168.00     4.1567          384.32                  307.46        239876.08
   4   996481      99.65    260.00       218.00     4.2552          464.53                  389.49        234178.60
   5   997746      99.77    310.00       268.00     4.4606          529.03                  457.36        223681.08
   6   995898      99.59    360.00       318.00     4.5689          598.68                  528.83        217971.16
   7   998380      99.84    410.00       368.00     4.7790          653.48                  586.54        208910.33
   8   998898      99.89    460.00       418.00     5.0612          692.65                  629.41        197363.28
   9   998767      99.88    510.00       468.00     5.2298          743.09                  681.90        190977.30
  10   999391      99.94    560.00       518.00     5.3788          793.84                  734.30        185803.37
  11   999856      99.99    610.00       568.00     5.6553          822.82                  766.16        176800.50
  12   999959     100.00    660.00       618.00     7.1165          707.54                  662.51        140512.75
  13  1000000     100.00    710.00       668.00     7.3878          733.22                  689.85        135358.64
  14   999970     100.00    760.00       718.00     7.7300          750.09                  708.63        129362.32
  15   999999     100.00    810.00       768.00     7.9807          774.34                  734.19        125301.46
  16  1000000     100.00    860.00       818.00     8.1763          802.47                  763.28        122304.26
  17  1000000     100.00    910.00       868.00     8.5209          814.79                  777.19        117358.99
  18  1000000     100.00    960.00       918.00     8.7838          833.83                  797.35        113845.70
  19  1000000     100.00   1010.00       968.00     9.1689          840.41                  805.47        109064.02
  20  1000000     100.00   1060.00      1018.00     9.3741          862.71                  828.53        106677.14
  21  1000000     100.00   1110.00      1068.00     9.6114          881.10                  847.76        104042.99
  22  1000000     100.00   1160.00      1118.00    10.9483          808.35                  779.09         91338.45
  23  1000000     100.00   1210.00      1168.00    11.2543          820.27                  791.80         88855.00
  24  1000000     100.00   1260.00      1218.00    11.5087          835.29                  807.44         86891.16
  25  1000000     100.00   1310.00      1268.00    11.7839          848.15                  820.96         84861.86
  26  1000000     100.00   1360.00      1318.00    12.1206          856.06                  829.62         82504.09
  27  1000000     100.00   1410.00      1368.00    12.4088          866.92                  841.10         80587.78
  28  1000000     100.00   1460.00      1418.00    12.7310          874.95                  849.78         78548.67
  29  1000000     100.00   1510.00      1468.00    12.9216          891.56                  866.76         77389.66
  30  1000000     100.00   1514.00      1472.00    13.0457          885.42                  860.85         76653.52

