t  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   100000     100.00     60.00        18.00     8.1158            5.64                    1.69         12321.59
   1   100000     100.00    110.00        68.00     7.8252           10.72                    6.63         12779.18
   2   100000     100.00    160.00       118.00     7.7959           15.66                   11.55         12827.30
   3   100000     100.00    210.00       168.00     7.9136           20.25                   16.20         12636.40
   4   100000     100.00    260.00       218.00     7.9530           24.94                   20.91         12573.90
   5   100000     100.00    310.00       268.00     7.8538           30.11                   26.03         12732.65
   6   100000     100.00    360.00       318.00     7.8887           34.82                   30.75         12676.36
   7   100000     100.00    410.00       368.00     8.1212           38.52                   34.57         12313.50
   8   100000     100.00    460.00       418.00     7.9302           44.26                   40.21         12610.07
   9   100000     100.00    510.00       468.00     7.9366           49.03                   44.99         12599.81
  10   100000     100.00    560.00       518.00     7.9531           53.72                   49.69         12573.65
  11   100000     100.00    610.00       568.00     8.0818           57.58                   53.62         12373.41
  12   100000     100.00    660.00       618.00     8.0473           62.57                   58.59         12426.46
  13   100000     100.00    710.00       668.00     7.9567           68.08                   64.05         12568.03
  14   100000     100.00    760.00       718.00     7.9604           72.84                   68.81         12562.20
  15   100000     100.00    810.00       768.00     8.0076           77.17                   73.17         12488.17
  16   100000     100.00    860.00       818.00     8.1604           80.40                   76.48         12254.31
  17   100000     100.00    910.00       868.00     8.0734           86.00                   82.03         12386.40
  18   100000     100.00    960.00       918.00     8.0187           91.34                   87.34         12470.89
  19   100000     100.00   1010.00       968.00     8.3391           92.40                   88.56         11991.65
  20   100000     100.00   1060.00      1018.00     8.6846           93.12                   89.43         11514.67
  21   100000     100.00   1110.00      1068.00     9.0950           93.11                   89.59         10995.06
  22   100000     100.00   1160.00      1118.00     9.4934           93.22                   89.85         10533.59
  23   100000     100.00   1210.00      1168.00     9.8945           93.30                   90.06         10106.61
  24   100000     100.00   1260.00      1218.00    10.2935           93.39                   90.28          9714.89
  25   100000     100.00   1310.00      1268.00    10.6949           93.45                   90.45          9350.25
  26   100000     100.00   1360.00      1318.00    11.0989           93.49                   90.60          9009.87
  27   100000     100.00   1410.00      1368.00    11.4948           93.59                   90.80          8699.61
  28   100000     100.00   1460.00      1418.00    11.8938           93.65                   90.96          8407.77
  29   100000     100.00   1510.00      1468.00    12.2926           93.72                   91.11          8134.99
  30   100000     100.00   1514.00      1472.00    12.3245           93.72                   91.12          8113.91
  31   100000     100.00   1514.00      1472.00    12.3248           93.72                   91.12          8113.72

