Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec  Delay
   0    99536      99.54     60.00        18.00     4.4654           10.20                    3.06         22290.28  45
   1   100000     100.00    110.00        68.00     4.5006           18.65                   11.53         22219.32  45
   2    99338      99.34    160.00       118.00     4.4983           26.96                   19.88         22083.51  45
   3   100000     100.00    210.00       168.00     4.5006           35.60                   28.48         22219.26  45
   4   100000     100.00    260.00       218.00     4.4984           44.10                   36.97         22230.23  45
   5    99031      99.03    310.00       268.00     4.5061           51.98                   44.94         21977.16  45
   6    99481      99.48    360.00       318.00     4.5001           60.72                   53.63         22106.28  45
   7   100000     100.00    410.00       368.00     4.9993           62.57                   56.16         20002.80  50
   8    99441      99.44    460.00       418.00     4.9994           69.81                   63.43         19890.44  50
   9    99637      99.64    510.00       468.00     4.9997           77.54                   71.16         19928.64  50
  10   100000     100.00    560.00       518.00     4.9990           85.47                   79.06         20003.84  50
  11   100000     100.00    610.00       568.00     4.9994           93.09                   86.68         20002.54  50
  12   100000     100.00    660.00       618.00     4.9995          100.72                   94.31         20001.97  50
  13   100000     100.00    710.00       668.00     4.9993          108.35                  101.94         20002.97  50
  14   100000     100.00    760.00       718.00     4.9996          115.98                  109.57         20001.71  50
  15   100000     100.00    810.00       768.00     4.9991          123.62                  117.21         20003.45  50
  16   100000     100.00    860.00       818.00     4.9993          131.24                  124.83         20002.65  50
  17    99984      99.98    910.00       868.00     4.9996          138.84                  132.43         19998.29  50
  18   100000     100.00    960.00       918.00     5.0018          146.43                  140.03         19992.99  50
  19   100000     100.00   1010.00       968.00     4.9971          154.20                  147.79         20011.62  50
  20    99885      99.89   1060.00      1018.00     5.0081          161.30                  154.91         19944.85  50
  21    99221      99.22   1110.00      1068.00     5.0008          168.02                  161.67         19840.84  50
  22    99750      99.75   1160.00      1118.00     5.1999          169.77                  163.63         19183.12  52
  23   100000     100.00   1210.00      1168.00     5.1999          177.53                  171.37         19231.02  52
  24    99760      99.76   1260.00      1218.00     5.1982          184.49                  178.34         19191.34  52
  25   100000     100.00   1310.00      1268.00     5.2001          192.20                  186.04         19230.48  52
  26    99638      99.64   1360.00      1318.00     5.2055          198.60                  192.47         19140.82  52
  27    99764      99.76   1410.00      1368.00     5.2019          206.31                  200.16         19178.26  52
  28    98309      98.31   1460.00      1418.00     5.2011          210.54                  204.49         18901.68  52
  29    97828      97.83   1510.00      1468.00     5.1976          216.83                  210.80         18821.75  52
  30    99362      99.36   1514.00      1472.00     5.1978          220.81                  214.68         19116.15  52

