Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   995780      99.58     60.00        18.00     4.1748          109.19                   32.76        238519.79
   1   994849      99.48     60.00        18.00     4.1535          109.64                   32.89        239520.87
   2   998449      99.84     60.00        18.00     4.1310          110.64                   33.19        241699.15
   3   996390      99.64     60.00        18.00     4.0780          111.85                   33.55        244333.19
   4   996173      99.62     60.00        18.00     4.1550          109.75                   32.92        239750.01
   5   998870      99.89     60.00        18.00     4.1491          110.20                   33.06        240741.46
   6   999245      99.92     60.00        18.00     4.1415          110.45                   33.13        241274.30
   7   998554      99.86     60.00        18.00     3.7959          120.42                   36.13        263061.75
   8   992527      99.25     60.00        18.00     2.9296          155.09                   46.53        338788.73
   9   995485      99.55     60.00        18.00     4.2061          108.34                   32.50        236675.47
