Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   100000     100.00     60.00        18.00     8.3443            5.49                    1.65         11984.29
   1    95000      95.00     60.00        18.00     7.9441            5.47                    1.64         11958.56
   2    90000      90.00     60.00        18.00     7.7083            5.34                    1.60         11675.67
   3    85000      85.00     60.00        18.00     7.5686            5.14                    1.54         11230.62
   4    80000      80.00     60.00        18.00     7.4107            4.94                    1.48         10795.27
   5    75000      75.00     60.00        18.00     7.2758            4.72                    1.42         10308.18
   6    70000      70.00     60.00        18.00     7.2513            4.42                    1.33          9653.39
   7    65000      65.00     60.00        18.00     6.9490            4.28                    1.28          9353.80
   8    60000      60.00     60.00        18.00     6.7923            4.04                    1.21          8833.48
   9    55000      55.00     60.00        18.00     6.6367            3.79                    1.14          8287.23
  10    50001      50.00     60.00        18.00     6.5026            3.52                    1.06          7689.36
  11    45001      45.00     60.00        18.00     6.2877            3.28                    0.98          7156.93
  12    40001      40.00     60.00        18.00     6.1255            2.99                    0.90          6530.28
  13    35001      35.00     60.00        18.00     5.9217            2.71                    0.81          5910.62
  14    30001      30.00     60.00        18.00     5.7074            2.41                    0.72          5256.55
  15    25001      25.00     60.00        18.00     5.5121            2.08                    0.62          4535.69
  16    20001      20.00     60.00        18.00     5.2954            1.73                    0.52          3777.09
  17    15001      15.00     60.00        18.00     5.0551            1.36                    0.41          2967.52
  18    10001      10.00     60.00        18.00     5.1209            0.89                    0.27          1952.99
  19     5001       5.00     60.00        18.00     4.6957            0.49                    0.15          1065.02
  20        2       0.00     60.00        18.00     4.2101            0.00                    0.00             0.48
