Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec  Delay
   0    99844      99.84     60.00        18.00     4.4785           10.21                    3.06         22294.28  45
   1    94999      95.00     60.00        18.00     4.3912            9.90                    2.97         21634.14  44
   2    89936      89.94     60.00        18.00     4.2871            9.60                    2.88         20978.43  43
   3    85000      85.00     60.00        18.00     4.3089            9.03                    2.71         19726.48  43
   4    79861      79.86     60.00        18.00     4.2009            8.70                    2.61         19010.36  42
   5    74943      74.94     60.00        18.00     4.1989            8.17                    2.45         17848.33  42
   6    69999      70.00     60.00        18.00     4.1873            7.65                    2.30         16716.85  42
   7    64981      64.98     60.00        18.00     4.0923            7.27                    2.18         15878.82  41
   8    59865      59.87     60.00        18.00     3.9952            6.86                    2.06         14984.08  40
   9    54991      54.99     60.00        18.00     3.9931            6.30                    1.89         13771.36  40
  10    50001      50.00     60.00        18.00     4.0004            5.72                    1.72         12499.13  40
  11    44767      44.77     60.00        18.00     3.8994            5.26                    1.58         11480.60  39
  12    39546      39.55     60.00        18.00     3.8875            4.66                    1.40         10172.61  39
  13    34929      34.93     60.00        18.00     3.6940            4.33                    1.30          9455.61  37
  14    30001      30.00     60.00        18.00     3.6985            3.71                    1.11          8111.73  37
  15    24460      24.46     60.00        18.00     3.4986            3.20                    0.96          6991.35  35
  16    19644      19.64     60.00        18.00     3.3993            2.65                    0.79          5778.79  34
  17    14617      14.62     60.00        18.00     3.3012            2.03                    0.61          4427.77  33
  18     9677       9.68     60.00        18.00     3.1993            1.38                    0.42          3024.71  32
  19     5000       5.00     60.00        18.00     3.1922            0.72                    0.22          1566.31  32
  20        2       0.00     60.00        18.00     3.1972            0.00                    0.00             0.63  32

