Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec
   0   999975     100.00     60.00        18.00     5.2098           87.86                   26.36        191940.38
   1   999804      99.98     60.00        18.00     5.1431           88.99                   26.70        194396.70
   2   999646      99.96     60.00        18.00     5.0764           90.14                   27.04        196919.71
   3   999302      99.93     60.00        18.00     5.0829           90.00                   27.00        196602.54
   4   999821      99.98     60.00        18.00     5.1083           89.60                   26.88        195725.19
   5   999462      99.95     60.00        18.00     5.0673           90.29                   27.09        197235.83
   6   999775      99.98     60.00        18.00     5.0794           90.10                   27.03        196830.40
   7   999311      99.93     60.00        18.00     6.1860           73.95                   22.18        161544.31
   8   999830      99.98     60.00        18.00     5.1831           88.30                   26.49        192900.89
   9   999478      99.95     60.00        18.00     5.2646           86.91                   26.07        189850.38

