Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec   Networks (field from writer)
   0   100000     100.00     60.00        18.00     7.9736            5.74                    1.72         12541.46   1
   1   100000     100.00     60.00        18.00    20.4957            2.23                    0.67          4879.07   5000
   2   100000     100.00     60.00        18.00    27.5032            1.66                    0.50          3635.94   10000
   3   100000     100.00     60.00        18.00    28.7610            1.59                    0.48          3476.93   15000
   4   100000     100.00     60.00        18.00    28.8632            1.59                    0.48          3464.62   20000
   5   100000     100.00     60.00        18.00    28.7650            1.59                    0.48          3476.45   25000

   0   100000     100.00     60.00        18.00     7.8598            5.82                    1.75         12722.90   1
   1   100000     100.00     60.00        18.00     8.7474            5.23                    1.57         11431.93   1000
   2   100000     100.00     60.00        18.00     9.0865            5.04                    1.51         11005.34   2000
   3   100000     100.00     60.00        18.00    19.3957            2.36                    0.71          5155.78   3000
   4   100000     100.00     60.00        18.00    19.5044            2.35                    0.70          5127.05   4000
   5   100000     100.00     60.00        18.00    20.0730            2.28                    0.68          4981.82   5000
   6   100000     100.00     60.00        18.00    20.8818            2.19                    0.66          4788.85   6000
   7   100000     100.00     60.00        18.00    21.8686            2.09                    0.63          4572.76   7000
   8   100000     100.00     60.00        18.00    22.6884            2.02                    0.61          4407.53   8000
   9   100000     100.00     60.00        18.00    24.0754            1.90                    0.57          4153.62   9000

   0   100000     100.00     60.00        18.00     9.2458            4.95                    1.49         10815.75   2000
   1   100000     100.00     60.00        18.00     9.5891            4.77                    1.43         10428.52   2100
   2   100000     100.00     60.00        18.00    10.7723            4.25                    1.27          9283.08   2200
   3   100000     100.00     60.00        18.00    12.1476            3.77                    1.13          8232.06   2300
   4   100000     100.00     60.00        18.00    12.9734            3.53                    1.06          7708.07   2400
   5   100000     100.00     60.00        18.00    14.7148            3.11                    0.93          6795.89   2500
   6   100000     100.00     60.00        18.00    15.0798            3.04                    0.91          6631.39   2600
   7   100000     100.00     60.00        18.00    15.3316            2.99                    0.90          6522.49   2700
   8   100000     100.00     60.00        18.00    15.7905            2.90                    0.87          6332.94   2800
   9   100000     100.00     60.00        18.00    19.3326            2.37                    0.71          5172.60   2900
  10   100000     100.00     60.00        18.00    19.5161            2.35                    0.70          5123.99   3000

