Test  Recived  Recived %  AVG size  AVG payload       Time  Speed Mbit/sec  Payload speed Mbit/sec  Packets per sec    Networks (from writer)   Delay
   0    99685      99.69     60.00        18.00     4.4709           10.21                    3.06         22296.53    1                        45
   1   100000     100.00     60.00        18.00     4.6935            9.75                    2.93         21306.09    1000                     47
   1    99915      99.92     60.00        18.00     4.8121            9.50                    2.85         20763.12    2000                     48
   1   100000     100.00     60.00        18.00     5.4988            8.32                    2.50         18185.67    3000                     55
   1    99422      99.42     60.00        18.00     6.4979            7.00                    2.10         15300.70    4000                     65
   1    99379      99.38     60.00        18.00     6.9991            6.50                    1.95         14198.74    5000                     70
   1    99982      99.98     60.00        18.00    12.8991            3.55                    1.06          7751.09    6000                     129
   2    99434      99.43     60.00        18.00    13.0244            3.49                    1.05          7634.42    7000                     130
   8   100000     100.00     60.00        18.00    17.4664            2.62                    0.79          5725.27    8000                     175
   9   100000     100.00     60.00        18.00    17.4979            2.62                    0.78          5714.97    9000                     175

   3   100000     100.00     60.00        18.00     7.9991            5.72                    1.72         12501.33    5100                     80
   4   100000     100.00     60.00        18.00     7.9989            5.72                    1.72         12501.79    5200                     80
   5    99896      99.90     60.00        18.00     8.0225            5.70                    1.71         12451.96    5300                     80

   3   100000     100.00     60.00        18.00     8.9989            5.09                    1.53         11112.52    5400                     90
   4   100000     100.00     60.00        18.00     9.0021            5.09                    1.53         11108.53    5500                     90
   5    99413      99.41     60.00        18.00     9.0212            5.04                    1.51         11019.92    5600                     90

   6   100000     100.00     60.00        18.00     9.9986            4.58                    1.37         10001.37    5700                     100
   4   100000     100.00     60.00        18.00    10.9987            4.16                    1.25          9091.96    5800                     110
   5   100000     100.00     60.00        18.00    10.9990            4.16                    1.25          9091.71    5900                     110
   6   100000     100.00     60.00        18.00    10.9997            4.16                    1.25          9091.15    6000                     110

